label,timestamp1,timestamp2,x_out_fir_rescale_max,x_out_fir_rescale_ptp,y_out_fir_rescale_max,y_out_fir_rescale_ptp,z_out_fir_rescale_max,z_out_fir_rescale_ptp
Chestpress,,,0.2077174186706543,0.308349072933197,0.5725042819976807,0.5600370168685913,1.0218229293823242,1.0044240951538086
Chestpress,,,0.4491841793060303,0.7536858320236206,0.34509551525115967,0.8554445505142212,1.1356768608093262,0.35620319843292236
Chestpress,,,0.09916841983795166,0.29161882400512695,0.5112437009811401,0.4755418300628662,1.0944807529449463,0.1979384422302246
Chestpress,,,0.3911339044570923,0.7470332980155945,0.04770970344543457,0.48485666513442993,1.185671091079712,0.4199000597000122
Chestpress,,,0.1722090244293213,0.3132590055465698,0.4849059581756592,0.4248690605163574,1.1510708332061768,0.3429279327392578
Chestpress,,,0.2721203565597534,0.5313383340835571,0.30299508571624756,0.6447321176528931,1.109168529510498,0.3330261707305908
Chestpress,,,0.1686457395553589,0.32220637798309326,0.486301064491272,0.7408753633499146,1.1352388858795166,0.3343169689178467
Chestpress,,,0.19344210624694824,0.3521089553833008,0.48285162448883057,0.7864840626716614,1.0825860500335693,0.19634079933166504
Chestpress,,,0.16184496879577637,0.34022367000579834,0.4001399278640747,0.65765780210495,1.0479068756103516,0.134476900100708
Chestpress,,,0.15883970260620117,0.41857391595840454,0.48937201499938965,0.5413122177124023,1.0416197776794434,0.19823825359344482
