label,timestamp1,timestamp2,x_out_fir_rescale_max,x_out_fir_rescale_ptp,y_out_fir_rescale_max,y_out_fir_rescale_ptp,z_out_fir_rescale_max,z_out_fir_rescale_ptp
Latpulldown,,,0.09055638313293457,0.6570085287094116,0.9626315832138062,0.9453978538513184,0.5158886909484863,0.5092203617095947
Latpulldown,,,0.09930896759033203,0.4234384298324585,1.478459119796753,0.6229126453399658,0.4558875560760498,0.342832088470459
Latpulldown,,,0.04585528373718262,0.4874509572982788,0.9532402753829956,0.42776620388031006,0.4662538766860962,0.40234315395355225
Latpulldown,,,0.20817291736602783,0.3902575969696045,1.3351573944091797,0.4965888261795044,0.5097776651382446,0.46091651916503906
Latpulldown,,,0.1883072853088379,0.6588760018348694,1.0844132900238037,0.48738932609558105,0.39545178413391113,0.3102133274078369
Latpulldown,,,0.23053884506225586,0.3377923369407654,1.3001091480255127,0.4531567096710205,0.5544928312301636,0.406996488571167
Latpulldown,,,0.1528850793838501,0.4692900776863098,1.1777515411376953,0.6477799415588379,0.4780879020690918,0.3599344491958618
Latpulldown,,,0.303430438041687,0.3855578303337097,1.0970556735992432,0.3400697708129883,0.46484076976776123,0.29234611988067627
Latpulldown,,,0.2515847682952881,0.3456076979637146,1.305546760559082,0.6014453172683716,0.4738576412200928,0.4182467460632324
Latpulldown,,,0.3422398567199707,0.6304492950439453,1.194974660873413,0.6107816696166992,0.5351542234420776,0.4871804714202881
