label,timestamp1,timestamp2,x_out_fir_rescale,y_out_fir_rescale,z_out_fir_rescale,gyro_x_fir_rescale,gyro_y_fir_rescale,gyro_z_fir_rescale
LatPulldown,,,-0.005939126014709473,0.013615012168884277,0.012011289596557617,0.0006159543991088867,-0.019460618495941162,0.03263974189758301
LatPulldown,,,-0.025353729724884033,0.05688595771789551,0.05029010772705078,0.0017342567443847656,-0.07280486822128296,0.139573335647583
LatPulldown,,,-0.0751238465309143,0.16736018657684326,0.14757704734802246,0.004655361175537109,-0.19739925861358643,0.419345498085022
LatPulldown,,,-0.14981961250305176,0.33056652545928955,0.2901676893234253,0.008835792541503906,-0.3348231911659241,0.8557577133178711
LatPulldown,,,-0.22386717796325684,0.49171745777130127,0.4270874261856079,0.016178250312805176,-0.3810061812400818,1.3340120315551758
LatPulldown,,,-0.2704616189002991,0.5989898443222046,0.5100270509719849,0.030415892601013184,-0.26306384801864624,1.7223918437957764
LatPulldown,,,-0.2827851176261902,0.6437286138534546,0.5316842794418335,0.04540741443634033,0.013470172882080078,1.9600982666015625
LatPulldown,,,-0.278187096118927,0.6663721799850464,0.5312149524688721,0.04458332061767578,0.3666728734970093,2.083218574523926
LatPulldown,,,-0.2668629288673401,0.68128502368927,0.5272234678268433,0.00836324691772461,0.7531572580337524,2.079345226287842
LatPulldown,,,-0.2591056823730469,0.6973929405212402,0.534348726272583,-0.064633309841156,1.0986816883087158,1.958832025527954
LatPulldown,,,-0.25932902097702026,0.7091284990310669,0.5540879964828491,-0.15088802576065063,1.322352409362793,1.724433183670044
LatPulldown,,,-0.2695046067237854,0.7127213478088379,0.5849937200546265,-0.21649765968322754,1.3405983448028564,1.3908987045288086
LatPulldown,,,-0.2866847515106201,0.7075096368789673,0.6199917793273926,-0.23278844356536865,1.1064772605895996,0.9834804534912109
LatPulldown,,,-0.3044079542160034,0.6956313848495483,0.6474788188934326,-0.1935233473777771,0.6475125551223755,0.5509796142578125
LatPulldown,,,-0.31559479236602783,0.6807147264480591,0.6566851139068604,-0.11331021785736084,0.07528603076934814,0.1629866361618042
LatPulldown,,,-0.3156058192253113,0.6665248870849609,0.6445529460906982,-0.016100287437438965,-0.44674456119537354,-0.11585015058517456
LatPulldown,,,-0.3060346841812134,0.6556785106658936,0.6183481216430664,0.07193553447723389,-0.7674380540847778,-0.25597357749938965
LatPulldown,,,-0.29395991563796997,0.6490792036056519,0.5903927087783813,0.1290808916091919,-0.8107378482818604,-0.2777642607688904
LatPulldown,,,-0.2861860990524292,0.6473870277404785,0.569815993309021,0.14399027824401855,-0.5975967645645142,-0.23638933897018433
LatPulldown,,,-0.28536486625671387,0.6521191596984863,0.5589065551757812,0.1170344352722168,-0.22132813930511475,-0.17920762300491333
LatPulldown,,,-0.2900969982147217,0.6646159887313843,0.5553855895996094,0.05736088752746582,0.19745349884033203,-0.12152016162872314
LatPulldown,,,-0.29752594232559204,0.6842184066772461,0.5571637153625488,-0.022930383682250977,0.5589885711669922,-0.05922740697860718
LatPulldown,,,-0.3052217960357666,0.7073321342468262,0.5641651153564453,-0.1125745177268982,0.7995418310165405,0.011522531509399414
LatPulldown,,,-0.31177204847335815,0.7287720441818237,0.5764011144638062,-0.20133322477340698,0.8808521032333374,0.08867692947387695
LatPulldown,,,-0.31730687618255615,0.7437891960144043,0.5914498567581177,-0.2815043330192566,0.7805994749069214,0.17022132873535156
LatPulldown,,,-0.32170242071151733,0.7499361038208008,0.6048327684402466,-0.3394284248352051,0.5024830102920532,0.25018370151519775
LatPulldown,,,-0.32285457849502563,0.7476323843002319,0.6139678955078125,-0.3569580912590027,0.0911550521850586,0.31769073009490967
LatPulldown,,,-0.31786906719207764,0.7386611700057983,0.6203591823577881,-0.3228566646575928,-0.3783251643180847,0.36283600330352783
LatPulldown,,,-0.3052963614463806,0.7244336605072021,0.6269162893295288,-0.23897403478622437,-0.8315398693084717,0.3859066963195801
LatPulldown,,,-0.2852460741996765,0.7061399221420288,0.633371114730835,-0.11657565832138062,-1.215686321258545,0.40805065631866455
LatPulldown,,,-0.258642315864563,0.6869101524353027,0.6349929571151733,0.031572937965393066,-1.4915293455123901,0.47064876556396484
LatPulldown,,,-0.2276393175125122,0.6729495525360107,0.6267577409744263,0.1902979612350464,-1.6177082061767578,0.6185306310653687
LatPulldown,,,-0.19795691967010498,0.6700445413589478,0.6103615760803223,0.34780967235565186,-1.5611313581466675,0.8649448156356812
LatPulldown,,,-0.1776665449142456,0.6760519742965698,0.5951758623123169,0.4907798767089844,-1.3281009197235107,1.1784014701843262
LatPulldown,,,-0.16958630084991455,0.6810281276702881,0.5906308889389038,0.6161667108535767,-0.9787214994430542,1.4916212558746338
LatPulldown,,,-0.1679094433784485,0.6765741109848022,0.5976028442382812,0.7283626794815063,-0.5929138660430908,1.7502174377441406
LatPulldown,,,-0.1633644700050354,0.6632354259490967,0.6071295738220215,0.8336138725280762,-0.21872937679290771,1.9585916996002197
LatPulldown,,,-0.1516914963722229,0.6493189334869385,0.6082710027694702,0.9256078004837036,0.16262853145599365,2.174736261367798
LatPulldown,,,-0.13626384735107422,0.6430726051330566,0.5954726934432983,0.9665374755859375,0.6354581117630005,2.4629323482513428
LatPulldown,,,-0.12359297275543213,0.6471433639526367,0.571131706237793,0.905390739440918,1.304058313369751,2.8415403366088867
LatPulldown,,,-0.11900460720062256,0.6565784215927124,0.5430350303649902,0.7069849967956543,2.224073886871338,3.288036823272705
LatPulldown,,,-0.12534743547439575,0.6609699726104736,0.5198017358779907,0.3891245126724243,3.3408684730529785,3.7703514099121094
