label,timestamp1,timestamp2,x_out_fir_rescale_max,x_out_fir_rescale_peak_to_peak,y_out_fir_rescale_max,y_out_fir_rescale_peak_to_peak,z_out_fir_rescale_max,z_out_fir_rescale_peak_to_peak
Bicepcurl,,,-0.40939033031463623,0.32397186756134033,0.28042328357696533,0.6596296429634094,-0.5569616556167603,0.7417770624160767
Chestpress,,,0.19344210624694824,0.3521089553833008,0.48285162448883057,0.7864840626716614,1.0825860500335693,0.19634079933166504
Latpulldown,,,0.303430438041687,0.3855578303337097,1.0970556735992432,0.3400697708129883,0.46484076976776123,0.29234611988067627
Bicepcurl,,,-0.34300559759140015,0.3196919560432434,0.6788074970245361,0.7016715407371521,-0.44148093461990356,0.6132736802101135
Bicepcurl,,,0.11226272583007812,0.7640868425369263,0.8314832448959351,0.5221452713012695,0.17245268821716309,1.0441410541534424
Stationary,,,-0.1951884627342224,0.01808023452758789,-0.9255470633506775,0.009426116943359375,0.29450178146362305,0.019320368766784668
Stationary,,,-0.004434108734130859,0.2227361798286438,-0.018647611141204834,0.9136185050010681,0.2865349054336548,0.28114259243011475
Latpulldown,,,0.04585528373718262,0.4874509572982788,0.9532402753829956,0.42776620388031006,0.4662538766860962,0.40234315395355225
Chestpress,,,0.3911339044570923,0.7470332980155945,0.04770970344543457,0.48485666513442993,1.185671091079712,0.4199000597000122
Chestpress,,,0.2721203565597534,0.5313383340835571,0.30299508571624756,0.6447321176528931,1.109168529510498,0.3330261707305908
Latpulldown,,,0.23053884506225586,0.3377923369407654,1.3001091480255127,0.4531567096710205,0.5544928312301636,0.406996488571167
Stationary,,,-0.1945691704750061,0.018346846103668213,-0.9235308170318604,0.013538122177124023,0.2885066270828247,0.012704849243164062
Latpulldown,,,0.20817291736602783,0.3902575969696045,1.3351573944091797,0.4965888261795044,0.5097776651382446,0.46091651916503906
Stationary,,,-0.19427329301834106,0.016130566596984863,-0.923183798789978,0.011968493461608887,0.2957749366760254,0.014593362808227539
Chestpress,,,0.09916841983795166,0.29161882400512695,0.5112437009811401,0.4755418300628662,1.0944807529449463,0.1979384422302246
Stationary,,,-0.1942509412765503,0.015519917011260986,-0.9238564372062683,0.010980725288391113,0.2945408821105957,0.018105745315551758
Bicepcurl,,,-0.45635998249053955,0.21708929538726807,0.4448586702346802,0.6308549046516418,-0.46768856048583984,0.7824397087097168
Stationary,,,-0.19491416215896606,0.020319461822509766,-0.923628568649292,0.010878443717956543,0.2927122116088867,0.015552997589111328
Stationary,,,-0.1917867660522461,0.019334614276885986,-0.9199303984642029,0.01477128267288208,0.29374444484710693,0.012537360191345215
Latpulldown,,,0.1528850793838501,0.4692900776863098,1.1777515411376953,0.6477799415588379,0.4780879020690918,0.3599344491958618
Chestpress,,,0.4491841793060303,0.7536858320236206,0.34509551525115967,0.8554445505142212,1.1356768608093262,0.35620319843292236
Bicepcurl,,,-0.13912951946258545,0.5140205025672913,0.9378257989883423,0.602378249168396,0.2028806209564209,1.1108896732330322
Bicepcurl,,,0.04774463176727295,0.5722864866256714,0.8688448667526245,0.8668199777603149,0.04641878604888916,1.1995292901992798
Latpulldown,,,0.2515847682952881,0.3456076979637146,1.305546760559082,0.6014453172683716,0.4738576412200928,0.4182467460632324
Chestpress,,,0.2077174186706543,0.308349072933197,0.5725042819976807,0.5600370168685913,1.0218229293823242,1.0044240951538086
Bicepcurl,,,-0.06804007291793823,0.6133303046226501,0.8388750553131104,0.5641264915466309,0.1295396089553833,0.9815868139266968
Chestpress,,,0.15883970260620117,0.41857391595840454,0.48937201499938965,0.5413122177124023,1.0416197776794434,0.19823825359344482
Chestpress,,,0.16184496879577637,0.34022367000579834,0.4001399278640747,0.65765780210495,1.0479068756103516,0.134476900100708
Stationary,,,-0.19655776023864746,0.012744307518005371,-0.9253847599029541,0.010365545749664307,0.29014742374420166,0.011615276336669922
Latpulldown,,,0.1883072853088379,0.6588760018348694,1.0844132900238037,0.48738932609558105,0.39545178413391113,0.3102133274078369
