label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir
Bicep curl,,,-346.7213439941406,579.8931884765625,-565.419921875
Bicep curl,,,-343.97576904296875,594.7188110351562,-544.3139038085938
Bicep curl,,,-344.5948486328125,609.3807983398438,-522.369140625
Bicep curl,,,-348.21844482421875,621.6310424804688,-501.4154968261719
Bicep curl,,,-350.78350830078125,630.0411376953125,-481.46942138671875
Bicep curl,,,-349.94427490234375,635.9619750976562,-463.23992919921875
Bicep curl,,,-347.3140869140625,643.2194213867188,-450.3456115722656
Bicep curl,,,-344.6634826660156,653.2471923828125,-445.3600769042969
Bicep curl,,,-341.4861145019531,665.872314453125,-443.4117736816406
Bicep curl,,,-338.7270812988281,680.4496459960938,-434.5459289550781
Bicep curl,,,-340.0562744140625,696.8250122070312,-413.01953125
Bicep curl,,,-347.6935119628906,714.337158203125,-382.48321533203125
Bicep curl,,,-359.1993713378906,731.6906127929688,-351.3265686035156
Bicep curl,,,-370.83624267578125,748.2826538085938,-325.9371337890625
Bicep curl,,,-380.7044372558594,764.7874145507812,-307.82086181640625
Bicep curl,,,-386.635986328125,781.7150268554688,-295.3064880371094
Bicep curl,,,-385.5048828125,797.82861328125,-286.07879638671875
Bicep curl,,,-375.444580078125,811.8331909179688,-279.0350036621094
Bicep curl,,,-358.6950378417969,824.4443969726562,-274.22186279296875
Bicep curl,,,-337.6701354980469,837.64013671875,-270.2447509765625
Bicep curl,,,-311.67919921875,851.4397583007812,-263.31781005859375
Bicep curl,,,-280.5209045410156,862.8563232421875,-249.204345703125
Bicep curl,,,-250.13560485839844,868.6424560546875,-225.2466278076172
Bicep curl,,,-232.06988525390625,868.8446655273438,-190.09962463378906
Bicep curl,,,-232.8441619873047,866.3638305664062,-145.49514770507812
Bicep curl,,,-248.1718292236328,863.1363525390625,-97.35287475585938
Bicep curl,,,-264.5772399902344,858.4281616210938,-54.95893859863281
Bicep curl,,,-266.9482727050781,850.374267578125,-25.230892181396484
Bicep curl,,,-243.01942443847656,837.9855346679688,-10.237356185913086
Bicep curl,,,-188.0613250732422,821.125244140625,-7.931272983551025
Bicep curl,,,-112.65906524658203,801.5086059570312,-9.686062812805176
Bicep curl,,,-37.15723419189453,782.6656494140625,-4.985874176025391
Bicep curl,,,20.116771697998047,767.6345825195312,13.613908767700195
Bicep curl,,,47.74462127685547,757.446533203125,46.418701171875
Bicep curl,,,39.1089973449707,752.4124755859375,88.80393981933594
Bicep curl,,,-6.033097743988037,753.2589721679688,135.75013732910156
Bicep curl,,,-75.52729797363281,759.684814453125,181.22216796875
Bicep curl,,,-147.94393920898438,769.9204711914062,220.8869171142578
Bicep curl,,,-205.1712188720703,780.8569946289062,254.28285217285156
Bicep curl,,,-237.85385131835938,790.0394287109375,283.2317810058594
Bicep curl,,,-242.68064880371094,796.2815551757812,308.739501953125
Bicep curl,,,-221.52976989746094,798.7608642578125,328.9767761230469
Bicep curl,,,-180.63729858398438,797.83642578125,340.2457275390625
Bicep curl,,,-130.3937530517578,794.4418334960938,339.5431823730469
Bicep curl,,,-83.57789611816406,790.2976684570312,326.3930969238281
Bicep curl,,,-51.512935638427734,787.1605224609375,304.301513671875
Bicep curl,,,-41.930442810058594,786.1918334960938,279.02764892578125
Bicep curl,,,-56.047306060791016,789.3405151367188,254.94949340820312
Bicep curl,,,-89.17646789550781,798.3631591796875,233.61593627929688
Bicep curl,,,-134.2772979736328,813.6505126953125,213.53387451171875
Bicep curl,,,-183.44268798828125,833.927734375,191.39222717285156
Bicep curl,,,-228.28602600097656,856.6871948242188,164.6487579345703
Bicep curl,,,-261.43988037109375,878.7568969726562,133.94964599609375
Bicep curl,,,-278.0010681152344,896.3074951171875,103.02540588378906
Bicep curl,,,-276.1331787109375,905.4203491210938,74.67080688476562
Bicep curl,,,-258.87310791015625,903.7593994140625,48.07920455932617
Bicep curl,,,-234.7278594970703,892.8372192382812,19.704824447631836
Bicep curl,,,-218.14593505859375,876.4031372070312,-13.901788711547852
Bicep curl,,,-222.67221069335938,860.1190185546875,-52.006187438964844
Bicep curl,,,-249.2530975341797,848.2761840820312,-89.94364929199219
Bicep curl,,,-284.0296936035156,841.7921752929688,-120.10941314697266
Bicep curl,,,-308.5768737792969,842.1611328125,-132.94912719726562
Bicep curl,,,-313.21307373046875,847.2954711914062,-123.65575408935547
Bicep curl,,,-301.0990295410156,849.3382568359375,-99.34825134277344
Bicep curl,,,-284.44415283203125,839.54541015625,-79.86150360107422
Bicep curl,,,-277.0428161621094,819.25732421875,-84.30844116210938
Bicep curl,,,-283.14752197265625,800.6030883789062,-115.79725646972656
Bicep curl,,,-291.9179992675781,790.93017578125,-160.71624755859375
Bicep curl,,,-288.0945129394531,787.07080078125,-199.07943725585938
Bicep curl,,,-267.13287353515625,781.8621826171875,-219.92919921875
Bicep curl,,,-238.18389892578125,772.47021484375,-226.011962890625
Bicep curl,,,-216.73675537109375,760.3440551757812,-226.84146118164062
Bicep curl,,,-212.71189880371094,746.7945556640625,-231.26194763183594
Bicep curl,,,-224.373291015625,732.9738159179688,-243.69122314453125
Bicep curl,,,-244.65521240234375,720.52392578125,-265.6532287597656
Bicep curl,,,-268.8118896484375,710.0530395507812,-295.8654479980469
Bicep curl,,,-296.987060546875,698.3002319335938,-333.0563049316406
Bicep curl,,,-327.331298828125,682.669921875,-376.8780822753906
Bicep curl,,,-354.5333251953125,665.7594604492188,-423.17242431640625
Bicep curl,,,-374.232666015625,652.4310913085938,-462.12139892578125
Bicep curl,,,-383.3928527832031,643.90966796875,-484.54510498046875
Bicep curl,,,-384.11175537109375,636.860107421875,-493.1964111328125
Bicep curl,,,-382.5748291015625,629.2030029296875,-501.3853454589844
Bicep curl,,,-384.5889587402344,621.3961181640625,-519.717041015625
Bicep curl,,,-392.6897277832031,613.8019409179688,-547.31494140625
Bicep curl,,,-405.6999816894531,605.0440673828125,-575.6707153320312
Bicep curl,,,-421.12060546875,593.5167236328125,-598.846435546875
Bicep curl,,,-435.4769287109375,580.1821899414062,-617.779052734375
Bicep curl,,,-445.1402587890625,567.5980834960938,-637.8077392578125
Bicep curl,,,-449.64410400390625,557.275634765625,-664.8121337890625
Bicep curl,,,-453.75897216796875,549.2651977539062,-700.559814453125
Bicep curl,,,-464.70343017578125,543.2142944335938,-737.5388793945312
Bicep curl,,,-486.020263671875,538.5191040039062,-760.979736328125
Bicep curl,,,-512.4678344726562,533.6784057617188,-760.2457885742188
Bicep curl,,,-532.0012817382812,527.0381469726562,-738.5989379882812
Bicep curl,,,-535.7365112304688,517.4483642578125,-712.5672607421875
Bicep curl,,,-525.3159790039062,505.5901184082031,-703.6936645507812
Bicep curl,,,-510.0966796875,492.0763854980469,-727.8441772460938
Bicep curl,,,-497.36474609375,478.4522399902344,-786.1334838867188
Bicep curl,,,-490.223388671875,464.4822692871094,-863.59326171875
Bicep curl,,,-490.7586975097656,446.1591491699219,-934.7892456054688
Bicep curl,,,-498.9459228515625,424.2476806640625,-974.6661376953125
Bicep curl,,,-511.795166015625,405.609130859375,-968.7557373046875
Bicep curl,,,-524.9678344726562,397.4914855957031,-919.2090454101562
Bicep curl,,,-538.0870971679688,396.2928466796875,-846.5838012695312
Bicep curl,,,-553.537109375,390.0441589355469,-781.832275390625
Bicep curl,,,-570.5894165039062,371.6492004394531,-755.90771484375
Bicep curl,,,-582.7005004882812,342.21258544921875,-785.8997192382812
Bicep curl,,,-578.8045043945312,313.53985595703125,-862.3499145507812
Bicep curl,,,-554.5115966796875,296.3564147949219,-952.6724853515625
Bicep curl,,,-517.58349609375,289.2484130859375,-1017.3627319335938
Bicep curl,,,-483.11669921875,286.0686340332031,-1031.92919921875
Bicep curl,,,-466.6252136230469,282.5870666503906,-997.5958862304688
Bicep curl,,,-476.5683288574219,279.3137512207031,-934.78857421875
Bicep curl,,,-510.8453063964844,273.0067138671875,-870.5198974609375
Bicep curl,,,-558.24267578125,258.7998046875,-827.2346801757812
Bicep curl,,,-605.2479248046875,238.13619995117188,-816.1852416992188
Bicep curl,,,-639.4307861328125,215.0263214111328,-835.2725219726562
Bicep curl,,,-649.9503784179688,194.79904174804688,-874.5491333007812
Bicep curl,,,-631.2717895507812,181.40249633789062,-921.8591918945312
Bicep curl,,,-587.0982055664062,175.2295684814453,-962.693115234375
Bicep curl,,,-532.6578369140625,173.868408203125,-981.6754150390625
Bicep curl,,,-489.9783935546875,173.92401123046875,-970.4714965820312
Bicep curl,,,-476.46746826171875,171.62603759765625,-933.9114379882812
Bicep curl,,,-494.5980224609375,163.468505859375,-885.6376953125
Bicep curl,,,-530.9664916992188,149.43846130371094,-842.0422973632812
Bicep curl,,,-566.9722290039062,134.6712646484375,-817.0027465820312
Bicep curl,,,-587.2178955078125,124.07424926757812,-818.7216796875
Bicep curl,,,-582.4344482421875,116.86005401611328,-846.5396728515625
Bicep curl,,,-554.2598266601562,108.97256469726562,-888.2083740234375
Bicep curl,,,-516.197998046875,98.26934814453125,-924.9950561523438
Bicep curl,,,-487.6102294921875,86.23041534423828,-942.3162841796875
Bicep curl,,,-482.95391845703125,75.4141845703125,-939.1197509765625
Bicep curl,,,-504.47857666015625,65.99166870117188,-925.5572509765625
Bicep curl,,,-544.8809814453125,55.07664108276367,-914.3630981445312
Bicep curl,,,-592.1015014648438,39.675357818603516,-915.133056640625
Bicep curl,,,-633.2584838867188,20.65290069580078,-930.3829345703125
Bicep curl,,,-658.277099609375,3.5966758728027344,-953.6014404296875
Bicep curl,,,-662.6975708007812,-4.921183109283447,-972.0036010742188
Bicep curl,,,-649.3699340820312,-2.6848597526550293,-975.8916625976562
Bicep curl,,,-625.4751586914062,5.644659042358398,-967.2467651367188
Bicep curl,,,-598.0704956054688,11.239896774291992,-958.9080810546875
Bicep curl,,,-572.9598999023438,8.264618873596191,-965.0693969726562
Bicep curl,,,-554.323974609375,-1.9577220678329468,-989.0835571289062
Bicep curl,,,-543.9283447265625,-13.514883041381836,-1020.0332641601562
Bicep curl,,,-541.2861938476562,-20.97598648071289,-1041.5062255859375
Bicep curl,,,-544.2396850585938,-22.86404800415039,-1044.2138671875
Bicep curl,,,-551.1329345703125,-21.051118850708008,-1030.69140625
Bicep curl,,,-561.0867919921875,-18.07314109802246,-1009.5314331054688
Bicep curl,,,-572.0775756835938,-15.34319019317627,-988.538818359375
Bicep curl,,,-580.5642700195312,-13.019414901733398,-972.7805786132812
Bicep curl,,,-582.4739379882812,-11.152724266052246,-964.8798828125
Bicep curl,,,-576.181396484375,-9.73405647277832,-964.3419189453125
Bicep curl,,,-563.88720703125,-8.283402442932129,-967.4739379882812
Bicep curl,,,-549.7484741210938,-6.481916904449463,-969.1275024414062
Bicep curl,,,-538.1461181640625,-4.682077407836914,-966.4751586914062
Bicep curl,,,-531.5910034179688,-3.8870112895965576,-960.9906005859375
Bicep curl,,,-529.0130004882812,-4.94132661819458,-955.9837646484375
Bicep curl,,,-527.2865600585938,-7.570320129394531,-953.3028564453125
Bicep curl,,,-524.0473022460938,-10.712888717651367,-952.45556640625
Bicep curl,,,-519.5501098632812,-13.455392837524414,-952.0458984375
Bicep curl,,,-516.2723388671875,-15.41592025756836,-951.167724609375
Bicep curl,,,-516.3602905273438,-16.654306411743164,-949.3333740234375
Bicep curl,,,-520.4196166992188,-17.265392303466797,-946.8856201171875
Bicep curl,,,-527.2925415039062,-17.3557071685791,-944.78076171875
Bicep curl,,,-535.0043334960938,-16.922504425048828,-943.3912353515625
Bicep curl,,,-541.3445434570312,-15.981407165527344,-943.146728515625
Bicep curl,,,-543.8402099609375,-15.161948204040527,-945.0748901367188
Bicep curl,,,-541.8924560546875,-15.080924034118652,-950.1618041992188
Bicep curl,,,-538.31640625,-15.574273109436035,-958.6015625
Bicep curl,,,-537.6087036132812,-15.96681022644043,-969.8278198242188
Bicep curl,,,-542.2291870117188,-15.719766616821289,-982.9540405273438
Bicep curl,,,-551.0902709960938,-14.546879768371582,-995.8960571289062
Bicep curl,,,-560.35009765625,-11.993220329284668,-1005.2780151367188
Bicep curl,,,-566.7783203125,-7.332181930541992,-1009.3389892578125
Bicep curl,,,-569.810791015625,-0.4006270170211792,-1009.6026000976562
Bicep curl,,,-571.0306396484375,7.953983783721924,-1009.584716796875
Bicep curl,,,-572.755859375,16.569927215576172,-1012.7930297851562
Bicep curl,,,-575.4918212890625,24.59551239013672,-1021.530517578125
Bicep curl,,,-579.2728881835938,32.13557434082031,-1035.3203125
Bicep curl,,,-584.64404296875,40.507720947265625,-1048.4388427734375
Bicep curl,,,-592.3323364257812,51.818504333496094,-1051.7606201171875
Bicep curl,,,-602.97998046875,67.47103881835938,-1041.25439453125
Bicep curl,,,-614.1625366210938,85.94264221191406,-1023.38427734375
Bicep curl,,,-621.0571899414062,103.52729034423828,-1010.7398681640625
Bicep curl,,,-619.2681274414062,117.6720199584961,-1012.5548095703125
Bicep curl,,,-607.050537109375,128.61166381835938,-1027.607666015625
Bicep curl,,,-588.0819702148438,138.901123046875,-1045.9517822265625
Bicep curl,,,-569.0853271484375,151.1663818359375,-1054.754638671875
Bicep curl,,,-555.753173828125,166.0870819091797,-1046.138427734375
Bicep curl,,,-549.7265014648438,182.3994598388672,-1021.6823120117188
Bicep curl,,,-548.509033203125,197.78318786621094,-991.266845703125
Bicep curl,,,-548.4166870117188,210.07131958007812,-967.5271606445312
Bicep curl,,,-546.3192749023438,217.79383850097656,-957.5662841796875
Bicep curl,,,-541.6284790039062,220.5801239013672,-960.1744995117188
Bicep curl,,,-535.5726318359375,219.96115112304688,-967.1924438476562
Bicep curl,,,-528.8350830078125,219.54896545410156,-968.5404663085938
Bicep curl,,,-522.335693359375,223.2092742919922,-959.1761474609375
Bicep curl,,,-517.69140625,232.9586181640625,-941.34130859375
Bicep curl,,,-516.28271484375,247.08453369140625,-920.509521484375
Bicep curl,,,-518.4705200195312,261.6631164550781,-900.8018188476562
Bicep curl,,,-523.4598388671875,273.88922119140625,-884.5468139648438
Bicep curl,,,-529.8229370117188,283.1981201171875,-875.1474609375
