label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir,gyro_x_fir,gyro_y_fir,gyro_z_fir
ChestPress,,,2.170149803161621,10.991604804992676,16.706562042236328,-1.601277470588684,1.3548805713653564,-1.3548805713653564
ChestPress,,,9.33378791809082,46.3310546875,70.478515625,-9.33714485168457,10.76174545288086,-2.3862667083740234
ChestPress,,,27.96222686767578,136.69241333007812,208.49317932128906,-31.227231979370117,42.360172271728516,-1.3850250244140625
ChestPress,,,56.60882568359375,270.97283935546875,415.15167236328125,-72.600830078125,117.10734558105469,14.718111038208008
ChestPress,,,86.46554565429688,403.2044677734375,623.0762939453125,-123.21943664550781,241.624267578125,53.64965057373047
ChestPress,,,107.26799011230469,487.607421875,764.861572265625,-161.0196075439453,395.10308837890625,108.54833984375
ChestPress,,,114.60594940185547,513.39306640625,824.795166015625,-169.5114288330078,535.419189453125,162.13101196289062
ChestPress,,,112.7052001953125,511.89324951171875,849.9409790039062,-147.64950561523438,617.5037231445312,196.6042938232422
ChestPress,,,103.89576721191406,497.0414123535156,860.261474609375,-104.96778869628906,611.5489501953125,206.74850463867188
ChestPress,,,92.11823272705078,480.51226806640625,871.3284912109375,-34.066551208496094,504.6762390136719,181.67770385742188
ChestPress,,,80.89411926269531,464.2930603027344,881.1665649414062,74.244873046875,311.0050964355469,112.2215347290039
ChestPress,,,74.12445068359375,450.83685302734375,887.6767578125,210.54173278808594,68.70903778076172,-0.8739728927612305
ChestPress,,,73.59934997558594,441.76385498046875,889.9849853515625,344.2471008300781,-171.449951171875,-143.8616485595703
ChestPress,,,77.72795867919922,437.4368591308594,888.8684692382812,442.9842224121094,-362.0600891113281,-296.3435363769531
ChestPress,,,83.12584686279297,437.46600341796875,886.1409912109375,497.1794128417969,-474.70697021484375,-444.70166015625
ChestPress,,,86.69902038574219,441.123291015625,883.2664184570312,506.4046325683594,-506.46856689453125,-580.4385375976562
ChestPress,,,87.42887878417969,447.00921630859375,880.9136962890625,477.8263244628906,-476.5137939453125,-699.9027099609375
ChestPress,,,86.05765533447266,453.50445556640625,879.76708984375,421.57672119140625,-408.1275939941406,-802.970458984375
ChestPress,,,83.63526916503906,459.7217712402344,880.637939453125,345.8694763183594,-316.6957092285156,-887.6124267578125
ChestPress,,,80.52241516113281,465.46160888671875,883.31982421875,252.4580078125,-211.8499755859375,-946.5977172851562
ChestPress,,,76.58271789550781,470.77496337890625,885.5790405273438,148.05520629882812,-107.36442565917969,-970.9144287109375
ChestPress,,,72.29354858398438,476.1078796386719,884.3843383789062,55.87328338623047,-22.24579620361328,-961.5921630859375
ChestPress,,,69.20415496826172,482.7087097167969,878.2476196289062,5.432165622711182,30.418073654174805,-932.1401977539062
ChestPress,,,69.0727767944336,492.40032958984375,868.27685546875,11.176071166992188,54.1498908996582,-893.0927124023438
ChestPress,,,72.36174774169922,506.2367858886719,857.4060668945312,59.34196090698242,69.64617156982422,-838.1484985351562
ChestPress,,,77.31300354003906,523.7918701171875,848.8709106445312,123.2631607055664,103.7593002319336,-750.4544677734375
ChestPress,,,80.8281478881836,543.8333129882812,845.2777709960938,181.318115234375,170.91015625,-621.7708740234375
ChestPress,,,80.82670593261719,565.2427978515625,848.1357421875,226.6306610107422,258.80401611328125,-464.2955627441406
ChestPress,,,77.43367767333984,587.4756469726562,857.2286376953125,263.03363037109375,332.9900817871094,-300.696044921875
ChestPress,,,72.36701965332031,610.20361328125,870.400390625,301.7178649902344,359.07708740234375,-150.49302673339844
ChestPress,,,67.9236831665039,633.2904052734375,883.7962646484375,359.0118713378906,323.83929443359375,-21.619556427001953
ChestPress,,,66.58998107910156,656.9906005859375,892.6478271484375,449.4910583496094,242.20652770996094,86.39395141601562
ChestPress,,,70.5430679321289,681.71533203125,892.6041870117188,576.9302978515625,150.09066772460938,178.5276641845703
ChestPress,,,80.76188659667969,707.2314453125,881.873779296875,726.9915161132812,94.76978302001953,260.77001953125
ChestPress,,,96.8124771118164,731.622314453125,863.8267211914062,870.8228149414062,123.39725494384766,342.9418640136719
ChestPress,,,117.45158386230469,751.5123901367188,846.2494506835938,967.4605102539062,265.7889709472656,434.6764831542969
ChestPress,,,140.67132568359375,763.2513427734375,837.0999755859375,992.3505249023438,524.1025390625,538.8699951171875
ChestPress,,,162.622314453125,765.102294921875,839.5615234375,949.0156860351562,871.7793579101562,647.9439086914062
ChestPress,,,178.16717529296875,758.5078125,850.3599853515625,868.68994140625,1257.11181640625,745.44775390625
ChestPress,,,183.51715087890625,747.5299682617188,862.774169921875,788.0775756835938,1611.1942138671875,812.0090942382812
ChestPress,,,178.21055603027344,737.0885620117188,871.0694580078125,719.020751953125,1861.11279296875,831.408447265625
ChestPress,,,164.99948120117188,730.1998901367188,873.4871826171875,643.0098876953125,1949.0540771484375,798.2241821289062
ChestPress,,,147.16371154785156,726.5186767578125,871.3630981445312,524.755126953125,1844.0810546875,719.7632446289062
ChestPress,,,126.33283996582031,723.0419921875,867.1539306640625,354.1318054199219,1530.001220703125,610.421875
ChestPress,,,102.21113586425781,716.4456176757812,861.4039916992188,150.1619110107422,993.8889770507812,483.113037109375
ChestPress,,,76.28814697265625,704.7716064453125,851.7052001953125,-7.806367874145508,243.13919067382812,341.0125732421875
ChestPress,,,54.93165969848633,689.5925903320312,834.7615966796875,-6.595844268798828,-658.2715454101562,165.14817810058594
ChestPress,,,46.910831451416016,677.1206665039062,808.5904541015625,230.7542266845703,-1565.3531494140625,-74.57260131835938
ChestPress,,,58.319129943847656,675.1531372070312,774.9821166992188,667.2720947265625,-2275.1904296875,-395.1368713378906
ChestPress,,,87.50572204589844,687.9868774414062,738.9174194335938,1131.773193359375,-2595.259033203125,-768.6995239257812
ChestPress,,,125.1867446899414,712.6455078125,707.0977783203125,1420.8536376953125,-2420.330810546875,-1118.7142333984375
ChestPress,,,158.29318237304688,740.1222534179688,685.4185791015625,1407.766845703125,-1773.3536376953125,-1359.2984619140625
ChestPress,,,176.30758666992188,760.1231689453125,677.3500366210938,1119.0877685546875,-790.854736328125,-1449.55517578125
ChestPress,,,174.96710205078125,766.424072265625,684.2388916015625,673.6241455078125,322.441162109375,-1421.8699951171875
ChestPress,,,155.10360717773438,759.1709594726562,704.2420043945312,179.6707305908203,1346.6654052734375,-1353.80126953125
ChestPress,,,120.79377746582031,741.817138671875,731.5521240234375,-311.42327880859375,2109.426513671875,-1317.817138671875
ChestPress,,,78.67533874511719,717.6472778320312,758.2888793945312,-765.5562133789062,2531.164306640625,-1354.8907470703125
ChestPress,,,37.1711311340332,689.5186157226562,778.7161865234375,-1140.502197265625,2633.088623046875,-1477.5472412109375
ChestPress,,,3.5581653118133545,660.6781005859375,791.8599853515625,-1408.249267578125,2506.07861328125,-1669.2894287109375
ChestPress,,,-18.406227111816406,634.2805786132812,800.133056640625,-1580.9901123046875,2269.758544921875,-1889.7628173828125
ChestPress,,,-29.52783203125,611.896728515625,806.2616577148438,-1704.6763916015625,2048.68408203125,-2080.095947265625
ChestPress,,,-33.65805435180664,593.487060546875,812.2120361328125,-1819.0223388671875,1947.658447265625,-2194.37939453125
ChestPress,,,-35.465301513671875,578.644775390625,820.1395263671875,-1942.6331787109375,2037.827392578125,-2224.48876953125
ChestPress,,,-39.307796478271484,567.1578979492188,832.4678955078125,-2090.0869140625,2339.31396484375,-2195.504638671875
ChestPress,,,-48.846248626708984,558.4551391601562,849.50537109375,-2293.08935546875,2809.57421875,-2145.03515625
ChestPress,,,-66.47872161865234,550.9132080078125,868.2459716796875,-2572.8720703125,3347.2734375,-2103.756591796875
ChestPress,,,-92.12490844726562,542.4068603515625,884.6383666992188,-2910.783935546875,3814.61328125,-2094.670654296875
ChestPress,,,-124.00717163085938,531.3048095703125,896.1809692382812,-3246.917236328125,4085.385498046875,-2121.447509765625
ChestPress,,,-160.6249237060547,516.9405517578125,902.5040283203125,-3505.16552734375,4088.99609375,-2167.1298828125
ChestPress,,,-201.10389709472656,500.30926513671875,904.7179565429688,-3622.123779296875,3828.736083984375,-2213.150146484375
ChestPress,,,-243.0178985595703,484.7071533203125,903.4517211914062,-3589.034912109375,3370.2509765625,-2267.560546875
ChestPress,,,-280.187744140625,473.7574157714844,898.2545776367188,-3455.820556640625,2808.318359375,-2358.729248046875
ChestPress,,,-305.1405334472656,468.75665283203125,889.0850219726562,-3305.521728515625,2235.142822265625,-2503.732666015625
ChestPress,,,-314.69573974609375,467.0316467285156,878.3651733398438,-3219.234130859375,1719.052978515625,-2635.337158203125
ChestPress,,,-313.4664611816406,464.1548156738281,871.2337036132812,-3251.45654296875,1293.3057861328125,-2637.478515625
ChestPress,,,-309.2101745605469,457.48211669921875,872.9641723632812,-3435.873779296875,953.3880004882812,-2350.632568359375
ChestPress,,,-308.0996398925781,444.23529052734375,886.1292724609375,-3791.611572265625,687.16552734375,-1745.988525390625
ChestPress,,,-314.7975158691406,420.3432312011719,908.5399169921875,-4261.228515625,462.80029296875,-1031.59619140625
ChestPress,,,-330.61248779296875,384.7575988769531,933.98876953125,-4687.48974609375,195.81138610839844,-517.8245239257812
ChestPress,,,-350.15081787109375,344.4483947753906,955.8433837890625,-4895.23681640625,-223.13262939453125,-402.22869873046875
ChestPress,,,-361.4806823730469,310.6836853027344,970.11865234375,-4839.5986328125,-840.4320068359375,-606.0468139648438
ChestPress,,,-355.0181579589844,289.06671142578125,975.3150024414062,-4628.525390625,-1570.4461669921875,-931.7788696289062
ChestPress,,,-329.7825622558594,276.81414794921875,971.2646484375,-4395.76806640625,-2261.8017578125,-1196.4976806640625
ChestPress,,,-290.9639892578125,267.864990234375,958.9680786132812,-4216.39208984375,-2782.271728515625,-1293.746826171875
ChestPress,,,-246.4477081298828,257.696044921875,942.2955932617188,-4089.406494140625,-3058.9921875,-1189.6353759765625
ChestPress,,,-204.3559112548828,244.55935668945312,927.6340942382812,-3993.365966796875,-3076.55908203125,-908.42919921875
ChestPress,,,-170.720947265625,228.56288146972656,920.2572021484375,-3905.231689453125,-2862.662353515625,-530.6096801757812
ChestPress,,,-147.78448486328125,210.69618225097656,921.1759033203125,-3810.590576171875,-2483.088134765625,-159.7168426513672
ChestPress,,,-134.4636688232422,191.80584716796875,926.4417724609375,-3707.901123046875,-2020.463623046875,124.36112976074219
ChestPress,,,-128.261474609375,171.86257934570312,930.4415893554688,-3595.7861328125,-1551.9910888671875,290.99078369140625
ChestPress,,,-125.54988098144531,151.4765167236328,929.3404541015625,-3465.707763671875,-1132.1785888671875,341.7330322265625
ChestPress,,,-122.191650390625,133.44281005859375,923.0616455078125,-3298.92431640625,-787.923828125,297.7059326171875
ChestPress,,,-115.7705078125,121.71022033691406,915.1757202148438,-3094.38134765625,-524.8671875,196.3667449951172
ChestPress,,,-106.27384948730469,117.70037078857422,909.6912231445312,-2888.03857421875,-335.6695861816406,76.13056182861328
ChestPress,,,-94.83434295654297,117.61434936523438,907.8865966796875,-2727.152099609375,-206.9279327392578,-35.17045593261719
ChestPress,,,-81.98001861572266,115.85787200927734,908.1304931640625,-2627.612060546875,-123.61817169189453,-114.29823303222656
ChestPress,,,-68.26695251464844,109.45797729492188,908.083740234375,-2586.41162109375,-69.4769515991211,-149.46229553222656
ChestPress,,,-54.83998107910156,99.5940933227539,907.0556030273438,-2571.8916015625,-27.94402313232422,-171.76034545898438
ChestPress,,,-42.54987335205078,89.8569564819336,906.091796875,-2557.854248046875,13.655067443847656,-241.82241821289062
ChestPress,,,-31.543052673339844,83.27293395996094,906.0172729492188,-2538.41162109375,64.77450561523438,-410.9106750488281
ChestPress,,,-21.3729248046875,80.64157104492188,906.8826904296875,-2536.64697265625,112.99475860595703,-656.28564453125
ChestPress,,,-11.383124351501465,78.97928619384766,908.4474487304688,-2579.91064453125,124.8502197265625,-939.7835693359375
ChestPress,,,0.2625678777694702,74.3846206665039,911.7811279296875,-2641.3544921875,68.13587188720703,-1255.9041748046875
ChestPress,,,15.900598526000977,66.085693359375,918.7293090820312,-2686.16259765625,-67.00619506835938,-1611.37353515625
ChestPress,,,36.76004409790039,58.054954528808594,929.7896118164062,-2699.334228515625,-262.3655090332031,-2001.4642333984375
ChestPress,,,62.33311462402344,55.54155349731445,943.6824951171875,-2718.396728515625,-510.43890380859375,-2370.017578125
ChestPress,,,90.4798812866211,58.98087692260742,957.5327758789062,-2791.51220703125,-802.8762817382812,-2699.786865234375
ChestPress,,,117.30740356445312,63.70458221435547,969.0296630859375,-2925.962890625,-1117.003173828125,-3020.04296875
ChestPress,,,137.81759643554688,63.53337860107422,978.30517578125,-3086.51708984375,-1410.8858642578125,-3385.473388671875
ChestPress,,,149.98236083984375,55.41987228393555,987.299560546875,-3234.134033203125,-1650.229248046875,-3812.6630859375
ChestPress,,,157.43902587890625,39.25847244262695,995.4202270507812,-3371.597412109375,-1826.0308837890625,-4261.7626953125
ChestPress,,,165.4561004638672,17.31385040283203,998.126953125,-3484.609619140625,-1916.265625,-4706.109375
ChestPress,,,175.56590270996094,-4.945553302764893,991.5969848632812,-3550.9208984375,-1890.4178466796875,-5117.78515625
ChestPress,,,184.27212524414062,-23.36026954650879,977.1228637695312,-3571.06298828125,-1711.973876953125,-5478.98876953125
ChestPress,,,187.08380126953125,-39.467525482177734,959.112548828125,-3585.412353515625,-1372.741455078125,-5770.87353515625
ChestPress,,,183.79519653320312,-58.006351470947266,941.669921875,-3573.007080078125,-900.47216796875,-6004.45947265625
ChestPress,,,176.17837524414062,-78.79486083984375,928.95068359375,-3487.712646484375,-334.1661682128906,-6179.0126953125
ChestPress,,,163.11521911621094,-96.89375305175781,924.7498779296875,-3353.404052734375,280.8429260253906,-6258.37548828125
ChestPress,,,138.4254913330078,-110.61567687988281,930.9125366210938,-3250.572998046875,892.1830444335938,-6220.505859375
ChestPress,,,96.86420440673828,-122.00474548339844,947.1419677734375,-3202.367919921875,1386.2305908203125,-6067.6708984375
ChestPress,,,44.52338409423828,-131.7808380126953,971.6904296875,-3127.904052734375,1630.448974609375,-5854.8671875
ChestPress,,,-4.919317722320557,-134.44976806640625,1002.0316162109375,-2951.352783203125,1533.220458984375,-5578.5810546875
ChestPress,,,-41.06124496459961,-126.6641616821289,1033.5098876953125,-2739.21337890625,1143.110595703125,-5211.00390625
ChestPress,,,-62.0611686706543,-114.8209457397461,1060.3548583984375,-2529.966064453125,598.1116333007812,-4787.9169921875
ChestPress,,,-71.25706481933594,-105.63272094726562,1080.618896484375,-2268.412109375,-26.407588958740234,-4367.35888671875
ChestPress,,,-65.92935943603516,-99.30044555664062,1094.7772216796875,-1879.53271484375,-730.033447265625,-3994.33544921875
ChestPress,,,-38.602516174316406,-90.65454864501953,1102.5775146484375,-1397.722900390625,-1509.7110595703125,-3578.76806640625
ChestPress,,,12.87270450592041,-79.88168334960938,1100.462890625,-983.7100830078125,-2226.572265625,-3007.269287109375
ChestPress,,,79.42799377441406,-72.29104614257812,1086.864990234375,-654.66162109375,-2692.63525390625,-2260.025146484375
ChestPress,,,144.3452606201172,-68.41336822509766,1069.0657958984375,-335.11859130859375,-2806.985107421875,-1438.095703125
ChestPress,,,195.4710235595703,-64.24923706054688,1058.55078125,53.45426940917969,-2596.45361328125,-729.2442016601562
ChestPress,,,227.55648803710938,-56.320377349853516,1061.2603759765625,460.13128662109375,-2179.078369140625,-235.43850708007812
ChestPress,,,238.66835021972656,-47.110328674316406,1071.9122314453125,778.9385375976562,-1681.34375,72.16181182861328
ChestPress,,,229.24307250976562,-42.73726272583008,1080.4599609375,987.932861328125,-1207.9290771484375,290.92083740234375
ChestPress,,,202.57554626464844,-46.087955474853516,1082.354736328125,1164.798583984375,-840.121337890625,507.7273864746094
ChestPress,,,166.51239013671875,-54.29964065551758,1079.74267578125,1395.1190185546875,-621.9359741210938,731.2867431640625
ChestPress,,,131.1390838623047,-60.267723083496094,1076.47509765625,1714.3614501953125,-554.866943359375,990.3246459960938
ChestPress,,,102.24652099609375,-58.571022033691406,1073.3074951171875,2037.2603759765625,-592.6070556640625,1359.1708984375
ChestPress,,,79.29625701904297,-52.000152587890625,1066.9603271484375,2259.0810546875,-678.6571655273438,1886.32568359375
ChestPress,,,59.724239349365234,-49.34430694580078,1054.663818359375,2371.1494140625,-781.5364990234375,2529.59033203125
ChestPress,,,44.33351516723633,-56.49095916748047,1036.3065185546875,2464.269287109375,-883.7822265625,3144.94970703125
ChestPress,,,37.73063659667969,-69.77611541748047,1014.773193359375,2657.75439453125,-945.8129272460938,3622.330322265625
