label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir
Lat pulldown,,,-9.348554611206055,17.233661651611328,6.6682562828063965
Lat pulldown,,,-39.455928802490234,72.36567687988281,28.067913055419922
Lat pulldown,,,-116.64039611816406,213.70831298828125,82.690673828125
Lat pulldown,,,-232.2489013671875,424.3015441894531,163.49380493164062
Lat pulldown,,,-348.50823974609375,635.09814453125,242.27528381347656
Lat pulldown,,,-427.0500793457031,777.3302612304688,290.98504638671875
Lat pulldown,,,-456.9640197753906,834.2029418945312,303.3510437011719
Lat pulldown,,,-459.4961853027344,850.65380859375,298.9678649902344
Lat pulldown,,,-443.5495300292969,843.0079345703125,287.75103759765625
Lat pulldown,,,-423.9588623046875,828.0774536132812,279.1885070800781
Lat pulldown,,,-411.94189453125,811.2389526367188,276.27386474609375
Lat pulldown,,,-414.86236572265625,799.5671997070312,279.344970703125
Lat pulldown,,,-427.26177978515625,793.4856567382812,284.0149230957031
Lat pulldown,,,-438.39642333984375,788.5416259765625,285.13043212890625
Lat pulldown,,,-442.518798828125,782.3805541992188,281.4877014160156
Lat pulldown,,,-439.6499938964844,779.90625,276.5333251953125
Lat pulldown,,,-430.664794921875,788.0595703125,274.3077087402344
Lat pulldown,,,-415.1876525878906,806.8046875,276.312744140625
Lat pulldown,,,-396.50128173828125,827.9116821289062,282.8245544433594
Lat pulldown,,,-381.10638427734375,839.8851928710938,293.92578125
Lat pulldown,,,-372.0624084472656,837.0205688476562,308.0415344238281
Lat pulldown,,,-367.7969970703125,822.4535522460938,321.31597900390625
Lat pulldown,,,-365.99932861328125,802.6549072265625,329.8304443359375
Lat pulldown,,,-366.5655517578125,782.6956787109375,332.9160461425781
Lat pulldown,,,-370.2043151855469,767.5314331054688,332.94287109375
Lat pulldown,,,-375.1558532714844,763.7647094726562,332.12261962890625
Lat pulldown,,,-378.1832580566406,775.145263671875,331.7209777832031
Lat pulldown,,,-377.2865295410156,797.255615234375,333.8104248046875
Lat pulldown,,,-374.1444396972656,818.542724609375,341.51129150390625
Lat pulldown,,,-372.3134460449219,828.9694213867188,355.87188720703125
Lat pulldown,,,-373.3729248046875,828.2186889648438,373.197265625
Lat pulldown,,,-376.048583984375,824.5866088867188,386.81427001953125
Lat pulldown,,,-378.9756774902344,827.2830810546875,392.19500732421875
Lat pulldown,,,-383.38641357421875,838.9570922851562,389.4520263671875
Lat pulldown,,,-389.85845947265625,855.177490234375,382.09442138671875
