label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir
Stationary,,,-175.3196258544922,-763.3300170898438,541.819091796875
Stationary,,,-172.0435333251953,-761.7113647460938,532.8604736328125
Stationary,,,-174.96437072753906,-763.6814575195312,524.9267578125
Stationary,,,-181.40362548828125,-769.0424194335938,517.9482421875
Stationary,,,-185.5362091064453,-776.1242065429688,512.3722534179688
Stationary,,,-182.57838439941406,-782.4851684570312,508.812744140625
Stationary,,,-171.5780487060547,-786.7623291015625,506.4875793457031
Stationary,,,-154.30447387695312,-789.146240234375,502.5902404785156
Stationary,,,-132.80215454101562,-789.7914428710938,494.0462341308594
Stationary,,,-109.36931610107422,-789.3441772460938,480.5169982910156
Stationary,,,-86.701171875,-789.6807861328125,464.8514709472656
Stationary,,,-67.29475402832031,-791.3831787109375,450.314208984375
Stationary,,,-54.46548080444336,-793.8961791992188,438.5814208984375
Stationary,,,-52.139610290527344,-796.4862060546875,429.1048278808594
Stationary,,,-62.693504333496094,-799.6605834960938,419.7418518066406
Stationary,,,-84.5536117553711,-804.7288818359375,407.86798095703125
Stationary,,,-113.11865234375,-813.1746826171875,393.1081237792969
Stationary,,,-146.07762145996094,-828.5121459960938,379.94708251953125
Stationary,,,-183.4712371826172,-851.9484252929688,374.0584411621094
Stationary,,,-222.8641815185547,-878.1942749023438,376.80133056640625
Stationary,,,-258.5470886230469,-899.482421875,384.3793029785156
Stationary,,,-286.07720947265625,-915.6808471679688,392.3841247558594
Stationary,,,-306.4455871582031,-934.760498046875,399.2267150878906
Stationary,,,-322.70355224609375,-959.4003295898438,404.73590087890625
Stationary,,,-336.15277099609375,-981.1842651367188,408.7673645019531
Stationary,,,-347.22869873046875,-989.2434692382812,411.162841796875
Stationary,,,-356.6250305175781,-982.2144165039062,411.2400817871094
Stationary,,,-365.524169921875,-968.7321166992188,407.2079772949219
Stationary,,,-373.930908203125,-958.1354370117188,398.04595947265625
Stationary,,,-379.77777099609375,-954.9501342773438,386.2265930175781
Stationary,,,-380.2212829589844,-958.9057006835938,376.96075439453125
Stationary,,,-373.00836181640625,-969.4277954101562,373.05078125
Stationary,,,-357.37603759765625,-986.5186157226562,371.3785095214844
Stationary,,,-332.4792175292969,-1007.1979370117188,364.598876953125
Stationary,,,-296.86871337890625,-1024.739013671875,347.218994140625
Stationary,,,-250.91766357421875,-1030.2794189453125,321.4618225097656
Stationary,,,-198.67742919921875,-1018.5991821289062,296.7643127441406
Stationary,,,-148.28843688964844,-992.140380859375,284.3484802246094
Stationary,,,-108.06959533691406,-960.0967407226562,288.7182922363281
Stationary,,,-82.4827651977539,-933.7132568359375,303.836669921875
Stationary,,,-72.0459976196289,-921.36962890625,319.92352294921875
Stationary,,,-75.94338989257812,-925.6117553710938,331.08807373046875
Stationary,,,-93.70340728759766,-941.5529174804688,336.9231262207031
Stationary,,,-123.07654571533203,-959.9627075195312,338.9009094238281
Stationary,,,-158.22389221191406,-972.7976684570312,337.1931457519531
Stationary,,,-190.65753173828125,-977.007568359375,331.65020751953125
Stationary,,,-213.28582763671875,-973.935302734375,322.6479187011719
Stationary,,,-223.4663848876953,-967.0702514648438,312.127197265625
Stationary,,,-222.6142120361328,-960.0288696289062,303.0445251464844
Stationary,,,-213.3328094482422,-954.8416748046875,296.29302978515625
Stationary,,,-197.79220581054688,-952.6435546875,289.8666687011719
Stationary,,,-179.52732849121094,-955.5911254882812,281.370849609375
Stationary,,,-164.50428771972656,-966.2147216796875,270.9561767578125
Stationary,,,-159.4763641357422,-983.4296264648438,261.1790771484375
Stationary,,,-167.74842834472656,-1001.1976318359375,254.8799285888672
Stationary,,,-186.2756805419922,-1012.4492797851562,253.47508239746094
Stationary,,,-207.07254028320312,-1013.3988647460938,256.173095703125
Stationary,,,-221.8614501953125,-1004.5551147460938,260.0656433105469
Stationary,,,-226.80255126953125,-989.1698608398438,261.9207458496094
Stationary,,,-223.72140502929688,-972.6257934570312,261.3070983886719
Stationary,,,-217.0550994873047,-960.9627075195312,261.3292236328125
Stationary,,,-209.4057159423828,-957.5087890625,264.48248291015625
Stationary,,,-200.77537536621094,-961.4840698242188,269.3903503417969
Stationary,,,-190.77069091796875,-968.8963012695312,272.6806335449219
Stationary,,,-180.3587646484375,-974.9498291015625,272.70733642578125
Stationary,,,-171.2532958984375,-976.533447265625,270.8533020019531
Stationary,,,-163.89373779296875,-973.8992919921875,269.38543701171875
Stationary,,,-157.0831756591797,-969.3262939453125,269.7297058105469
Stationary,,,-148.48292541503906,-964.5177001953125,272.3974914550781
Stationary,,,-136.45968627929688,-961.4871826171875,276.92156982421875
Stationary,,,-121.73883819580078,-961.5180053710938,281.9132080078125
Stationary,,,-105.54727935791016,-966.5818481445312,283.3377990722656
Stationary,,,-88.39679718017578,-973.8961181640625,275.71990966796875
Stationary,,,-68.21302032470703,-980.9615478515625,254.83395385742188
Stationary,,,-52.18114471435547,-991.2809448242188,231.0383758544922
Stationary,,,-57.18747329711914,-1001.924560546875,224.54522705078125
